Method	dataset	nl	ei1	ei2	fp	fn	merge	rf
Astral	250	26	23	23	9	9	Astral250	0.391304348
Astral	250	26	23	23	4	4	Astral250	0.173913043
Astral	250	26	23	23	6	6	Astral250	0.260869565
Astral	250	26	23	23	6	6	Astral250	0.260869565
Astral	250	26	23	23	5	5	Astral250	0.217391304
Astral	250	26	23	23	9	9	Astral250	0.391304348
Astral	250	26	23	23	23	23	Astral250	1
svd	250	26	23	23	9	9	svd250	0.391304348
svd	250	26	23	23	16	16	svd250	0.695652174
svd	250	26	23	23	10	10	svd250	0.434782609
svd	250	26	23	23	7	7	svd250	0.304347826
svd	250	26	23	23	4	4	svd250	0.173913043
svd	250	26	23	23	7	7	svd250	0.304347826
svd	250	26	23	23	4	4	svd250	0.173913043
svd	250	26	23	23	8	8	svd250	0.347826087
svd	250	26	23	23	15	15	svd250	0.652173913
out_final	250	26	23	23	3	3	out_final250	0.130434783
out_final	250	26	19	23	15	11	out_final250	0.619047619
out_final	250	26	20	23	4	1	out_final250	0.11627907
out_final	250	26	22	23	2	1	out_final250	0.066666667
out_final	250	26	23	23	1	1	out_final250	0.043478261
out_final	250	26	22	23	3	2	out_final250	0.111111111
out_final	250	26	21	23	2	0	out_final250	0.045454545
out_final	250	26	23	23	2	2	out_final250	0.086956522
out_final	250	26	20	23	11	8	out_final250	0.441860465
